Epoch: [1][110/360]	 lr:0.01000	Time 0.117 (0.130)	Loss 0.0087 (0.0128)	Prec@1 96.875 (96.776)	
Epoch: [1][120/360]	 lr:0.01000	Time 0.142 (0.128)	Loss 0.0373 (0.0130)	Prec@1 93.750 (96.733)	
Epoch: [1][130/360]	 lr:0.01000	Time 0.124 (0.126)	Loss 0.0078 (0.0127)	Prec@1 96.875 (96.780)	
Epoch: [1][140/360]	 lr:0.01000	Time 0.091 (0.125)	Loss 0.0151 (0.0125)	Prec@1 92.188 (96.809)	
Epoch: [1][150/360]	 lr:0.01000	Time 0.091 (0.125)	Loss 0.0071 (0.0123)	Prec@1 100.000 (96.885)	
Epoch: [1][160/360]	 lr:0.01000	Time 0.110 (0.124)	Loss 0.0147 (0.0120)	Prec@1 93.750 (96.943)	
Epoch: [1][170/360]	 lr:0.01000	Time 0.133 (0.123)	Loss 0.0036 (0.0117)	Prec@1 100.000 (97.039)	
Epoch: [1][180/360]	 lr:0.01000	Time 0.078 (0.123)	Loss 0.0193 (0.0117)	Prec@1 93.750 (97.030)	
Epoch: [1][190/360]	 lr:0.01000	Time 0.159 (0.122)	Loss 0.0099 (0.0114)	Prec@1 96.875 (97.071)	
Epoch: [1][200/360]	 lr:0.01000	Time 0.113 (0.122)	Loss 0.0099 (0.0112)	Prec@1 95.312 (97.124)	
Epoch: [1][210/360]	 lr:0.01000	Time 0.104 (0.121)	Loss 0.0053 (0.0111)	Prec@1 100.000 (97.156)	
Epoch: [1][220/360]	 lr:0.01000	Time 0.099 (0.121)	Loss 0.0106 (0.0112)	Prec@1 95.312 (97.108)	
Epoch: [1][230/360]	 lr:0.01000	Time 0.084 (0.121)	Loss 0.0027 (0.0111)	Prec@1 100.000 (97.166)	
Epoch: [1][240/360]	 lr:0.01000	Time 0.125 (0.120)	Loss 0.0014 (0.0110)	Prec@1 100.000 (97.193)	
Epoch: [1][250/360]	 lr:0.01000	Time 0.106 (0.120)	Loss 0.0014 (0.0110)	Prec@1 100.000 (97.180)	
Epoch: [1][260/360]	 lr:0.01000	Time 0.133 (0.120)	Loss 0.0217 (0.0111)	Prec@1 96.875 (97.186)	
Epoch: [1][270/360]	 lr:0.01000	Time 0.131 (0.120)	Loss 0.0021 (0.0111)	Prec@1 100.000 (97.204)	
Epoch: [1][280/360]	 lr:0.01000	Time 0.083 (0.119)	Loss 0.0070 (0.0111)	Prec@1 100.000 (97.214)	
Epoch: [1][290/360]	 lr:0.01000	Time 0.130 (0.119)	Loss 0.0066 (0.0111)	Prec@1 98.438 (97.192)	
Epoch: [1][300/360]	 lr:0.01000	Time 0.111 (0.119)	Loss 0.0067 (0.0112)	Prec@1 96.875 (97.181)	
Epoch: [1][310/360]	 lr:0.01000	Time 0.121 (0.120)	Loss 0.0034 (0.0111)	Prec@1 100.000 (97.237)	
Epoch: [1][320/360]	 lr:0.01000	Time 0.091 (0.120)	Loss 0.0161 (0.0111)	Prec@1 93.750 (97.221)	
Epoch: [1][330/360]	 lr:0.01000	Time 0.119 (0.119)	Loss 0.0050 (0.0109)	Prec@1 98.438 (97.257)	
Epoch: [1][340/360]	 lr:0.01000	Time 0.094 (0.119)	Loss 0.0080 (0.0110)	Prec@1 98.438 (97.223)	
Epoch: [1][350/360]	 lr:0.01000	Time 0.091 (0.119)	Loss 0.0123 (0.0110)	Prec@1 95.312 (97.227)	
Epoch: [2][0/360]	 lr:0.01000	Time 0.711 (0.711)	Loss 0.0056 (0.0056)	Prec@1 98.438 (98.438)	
Epoch: [2][10/360]	 lr:0.01000	Time 0.114 (0.199)	Loss 0.0026 (0.0057)	Prec@1 100.000 (98.580)	
Epoch: [2][20/360]	 lr:0.01000	Time 0.104 (0.153)	Loss 0.0073 (0.0056)	Prec@1 98.438 (98.735)	
Epoch: [2][30/360]	 lr:0.01000	Time 0.089 (0.140)	Loss 0.0041 (0.0064)	Prec@1 98.438 (98.488)	
Epoch: [2][40/360]	 lr:0.01000	Time 0.114 (0.134)	Loss 0.0051 (0.0064)	Prec@1 98.438 (98.399)	
Epoch: [2][50/360]	 lr:0.01000	Time 0.100 (0.132)	Loss 0.0021 (0.0064)	Prec@1 100.000 (98.315)	
Epoch: [2][60/360]	 lr:0.01000	Time 0.086 (0.129)	Loss 0.0040 (0.0066)	Prec@1 98.438 (98.207)	
Epoch: [2][70/360]	 lr:0.01000	Time 0.104 (0.127)	Loss 0.0044 (0.0068)	Prec@1 100.000 (98.217)	
Epoch: [2][80/360]	 lr:0.01000	Time 0.111 (0.125)	Loss 0.0479 (0.0076)	Prec@1 98.438 (98.167)	
Epoch: [2][90/360]	 lr:0.01000	Time 0.099 (0.123)	Loss 0.0020 (0.0076)	Prec@1 100.000 (98.146)	
Epoch: [2][100/360]	 lr:0.01000	Time 0.100 (0.121)	Loss 0.0121 (0.0076)	Prec@1 96.875 (98.144)	
Epoch: [2][110/360]	 lr:0.01000	Time 0.089 (0.119)	Loss 0.0141 (0.0076)	Prec@1 96.875 (98.170)	
Epoch: [2][120/360]	 lr:0.01000	Time 0.104 (0.119)	Loss 0.0038 (0.0074)	Prec@1 100.000 (98.231)	
Epoch: [2][130/360]	 lr:0.01000	Time 0.148 (0.118)	Loss 0.0404 (0.0077)	Prec@1 92.188 (98.151)	
Epoch: [2][140/360]	 lr:0.01000	Time 0.118 (0.118)	Loss 0.0082 (0.0076)	Prec@1 98.438 (98.183)	
Epoch: [2][150/360]	 lr:0.01000	Time 0.121 (0.118)	Loss 0.0139 (0.0078)	Prec@1 98.438 (98.179)	
Epoch: [2][160/360]	 lr:0.01000	Time 0.140 (0.117)	Loss 0.0046 (0.0077)	Prec@1 100.000 (98.214)	
Epoch: [2][170/360]	 lr:0.01000	Time 0.117 (0.117)	Loss 0.0023 (0.0076)	Prec@1 100.000 (98.227)	
Epoch: [2][180/360]	 lr:0.01000	Time 0.152 (0.116)	Loss 0.0009 (0.0075)	Prec@1 100.000 (98.239)	
Epoch: [2][190/360]	 lr:0.01000	Time 0.172 (0.117)	Loss 0.0012 (0.0074)	Prec@1 100.000 (98.274)	
Epoch: [2][200/360]	 lr:0.01000	Time 0.135 (0.116)	Loss 0.0017 (0.0072)	Prec@1 100.000 (98.321)	
Epoch: [2][210/360]	 lr:0.01000	Time 0.146 (0.116)	Loss 0.0057 (0.0073)	Prec@1 96.875 (98.289)	
Epoch: [2][220/360]	 lr:0.01000	Time 0.109 (0.116)	Loss 0.0026 (0.0071)	Prec@1 100.000 (98.317)	
Epoch: [2][230/360]	 lr:0.01000	Time 0.099 (0.115)	Loss 0.0079 (0.0071)	Prec@1 96.875 (98.309)	
Epoch: [2][240/360]	 lr:0.01000	Time 0.111 (0.115)	Loss 0.0070 (0.0071)	Prec@1 98.438 (98.334)	
Epoch: [2][250/360]	 lr:0.01000	Time 0.111 (0.115)	Loss 0.0015 (0.0070)	Prec@1 100.000 (98.332)	
Epoch: [2][260/360]	 lr:0.01000	Time 0.091 (0.115)	Loss 0.0161 (0.0070)	Prec@1 98.438 (98.330)	
Epoch: [2][270/360]	 lr:0.01000	Time 0.133 (0.116)	Loss 0.0022 (0.0071)	Prec@1 100.000 (98.351)	
Epoch: [2][280/360]	 lr:0.01000	Time 0.168 (0.116)	Loss 0.0081 (0.0070)	Prec@1 98.438 (98.371)	
Epoch: [2][290/360]	 lr:0.01000	Time 0.137 (0.116)	Loss 0.0073 (0.0069)	Prec@1 96.875 (98.389)	
Epoch: [2][300/360]	 lr:0.01000	Time 0.120 (0.116)	Loss 0.0012 (0.0069)	Prec@1 100.000 (98.380)	
Epoch: [2][310/360]	 lr:0.01000	Time 0.122 (0.116)	Loss 0.0011 (0.0070)	Prec@1 100.000 (98.347)	
Epoch: [2][320/360]	 lr:0.01000	Time 0.100 (0.115)	Loss 0.0024 (0.0070)	Prec@1 100.000 (98.340)	
Epoch: [2][330/360]	 lr:0.01000	Time 0.124 (0.116)	Loss 0.0035 (0.0071)	Prec@1 98.438 (98.334)	
Epoch: [2][340/360]	 lr:0.01000	Time 0.132 (0.116)	Loss 0.0245 (0.0070)	Prec@1 96.875 (98.369)	
Epoch: [2][350/360]	 lr:0.01000	Time 0.135 (0.116)	Loss 0.0080 (0.0070)	Prec@1 98.438 (98.371)	
Epoch: [3][0/360]	 lr:0.01000	Time 0.845 (0.845)	Loss 0.0020 (0.0020)	Prec@1 100.000 (100.000)	
Epoch: [3][10/360]	 lr:0.01000	Time 0.100 (0.199)	Loss 0.0032 (0.0023)	Prec@1 98.438 (99.574)	
Epoch: [3][20/360]	 lr:0.01000	Time 0.096 (0.157)	Loss 0.0019 (0.0041)	Prec@1 100.000 (99.330)	
Epoch: [3][30/360]	 lr:0.01000	Time 0.129 (0.144)	Loss 0.0020 (0.0037)	Prec@1 100.000 (99.395)	
Epoch: [3][40/360]	 lr:0.01000	Time 0.146 (0.136)	Loss 0.0038 (0.0036)	Prec@1 98.438 (99.428)	
Epoch: [3][50/360]	 lr:0.01000	Time 0.098 (0.131)	Loss 0.0080 (0.0038)	Prec@1 96.875 (99.326)	
Epoch: [3][60/360]	 lr:0.01000	Time 0.112 (0.133)	Loss 0.0054 (0.0043)	Prec@1 98.438 (99.103)	
Epoch: [3][70/360]	 lr:0.01000	Time 0.117 (0.130)	Loss 0.0094 (0.0043)	Prec@1 96.875 (99.032)	
Epoch: [3][80/360]	 lr:0.01000	Time 0.106 (0.128)	Loss 0.0006 (0.0042)	Prec@1 100.000 (99.016)	
Epoch: [3][90/360]	 lr:0.01000	Time 0.120 (0.126)	Loss 0.0014 (0.0040)	Prec@1 100.000 (99.056)	
Epoch: [3][100/360]	 lr:0.01000	Time 0.106 (0.123)	Loss 0.0016 (0.0039)	Prec@1 100.000 (99.087)	
Epoch: [3][110/360]	 lr:0.01000	Time 0.143 (0.123)	Loss 0.0017 (0.0039)	Prec@1 100.000 (99.113)	
Epoch: [3][120/360]	 lr:0.01000	Time 0.100 (0.120)	Loss 0.0013 (0.0041)	Prec@1 100.000 (99.070)	
Epoch: [3][130/360]	 lr:0.01000	Time 0.120 (0.119)	Loss 0.0060 (0.0043)	Prec@1 98.438 (99.022)	
Epoch: [3][140/360]	 lr:0.01000	Time 0.102 (0.118)	Loss 0.0069 (0.0043)	Prec@1 96.875 (99.003)	
Epoch: [3][150/360]	 lr:0.01000	Time 0.086 (0.117)	Loss 0.0054 (0.0042)	Prec@1 98.438 (99.027)	
Epoch: [3][160/360]	 lr:0.01000	Time 0.084 (0.116)	Loss 0.0015 (0.0043)	Prec@1 100.000 (99.020)	
Epoch: [3][170/360]	 lr:0.01000	Time 0.096 (0.114)	Loss 0.0085 (0.0043)	Prec@1 96.875 (99.022)	
Epoch: [3][180/360]	 lr:0.01000	Time 0.098 (0.114)	Loss 0.0009 (0.0042)	Prec@1 100.000 (99.025)	
Epoch: [3][190/360]	 lr:0.01000	Time 0.092 (0.113)	Loss 0.0018 (0.0042)	Prec@1 100.000 (99.043)	
Epoch: [3][200/360]	 lr:0.01000	Time 0.104 (0.112)	Loss 0.0061 (0.0042)	Prec@1 95.312 (98.989)	
Epoch: [3][210/360]	 lr:0.01000	Time 0.081 (0.111)	Loss 0.0033 (0.0042)	Prec@1 98.438 (98.971)	
Epoch: [3][220/360]	 lr:0.01000	Time 0.100 (0.111)	Loss 0.0022 (0.0043)	Prec@1 100.000 (98.954)	
Epoch: [3][230/360]	 lr:0.01000	Time 0.087 (0.110)	Loss 0.0080 (0.0043)	Prec@1 96.875 (98.945)	
Epoch: [3][240/360]	 lr:0.01000	Time 0.096 (0.110)	Loss 0.0010 (0.0043)	Prec@1 100.000 (98.963)	
Epoch: [3][250/360]	 lr:0.01000	Time 0.116 (0.109)	Loss 0.0035 (0.0042)	Prec@1 98.438 (98.967)	
Epoch: [3][260/360]	 lr:0.01000	Time 0.079 (0.109)	Loss 0.0023 (0.0045)	Prec@1 100.000 (98.958)	
Epoch: [3][270/360]	 lr:0.01000	Time 0.083 (0.110)	Loss 0.0027 (0.0045)	Prec@1 100.000 (98.956)	
Epoch: [3][280/360]	 lr:0.01000	Time 0.130 (0.110)	Loss 0.0068 (0.0045)	Prec@1 98.438 (98.955)	
Epoch: [3][290/360]	 lr:0.01000	Time 0.117 (0.110)	Loss 0.0027 (0.0045)	Prec@1 98.438 (98.964)	
Epoch: [3][300/360]	 lr:0.01000	Time 0.150 (0.111)	Loss 0.0025 (0.0045)	Prec@1 100.000 (98.957)	
Epoch: [3][310/360]	 lr:0.01000	Time 0.085 (0.111)	Loss 0.0108 (0.0044)	Prec@1 96.875 (98.965)	
Epoch: [3][320/360]	 lr:0.01000	Time 0.089 (0.110)	Loss 0.0104 (0.0044)	Prec@1 96.875 (98.968)	
Epoch: [3][330/360]	 lr:0.01000	Time 0.108 (0.110)	Loss 0.0103 (0.0045)	Prec@1 98.438 (98.976)	
Epoch: [3][340/360]	 lr:0.01000	Time 0.130 (0.110)	Loss 0.0047 (0.0045)	Prec@1 100.000 (98.978)	
Epoch: [3][350/360]	 lr:0.01000	Time 0.100 (0.109)	Loss 0.0019 (0.0045)	Prec@1 100.000 (98.963)	
