Epoch: [0][0/1427]	 lr:0.01000	Time 11.550 (11.550)	Loss 6.2037 (6.2037)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1427]	 lr:0.01000	Time 2.576 (2.435)	Loss 5.9952 (6.1328)	Prec@1 51.562 (25.284)	
Epoch: [0][20/1427]	 lr:0.01000	Time 2.537 (2.019)	Loss 5.1460 (5.9184)	Prec@1 71.875 (40.923)	
Epoch: [0][30/1427]	 lr:0.01000	Time 0.041 (1.843)	Loss 3.5593 (5.4368)	Prec@1 56.250 (46.774)	
Epoch: [0][40/1427]	 lr:0.01000	Time 1.516 (1.796)	Loss 1.4508 (4.6143)	Prec@1 65.625 (51.334)	
Epoch: [0][50/1427]	 lr:0.01000	Time 0.047 (1.685)	Loss 0.3556 (3.8839)	Prec@1 73.438 (55.025)	
Epoch: [0][60/1427]	 lr:0.01000	Time 2.637 (1.740)	Loss 0.0603 (3.2766)	Prec@1 89.062 (59.068)	
Epoch: [0][70/1427]	 lr:0.01000	Time 0.036 (1.668)	Loss 0.0828 (2.8285)	Prec@1 81.250 (61.840)	
Epoch: [0][80/1427]	 lr:0.01000	Time 0.032 (1.681)	Loss 0.0808 (2.4894)	Prec@1 68.750 (63.754)	
Epoch: [0][90/1427]	 lr:0.01000	Time 0.029 (1.650)	Loss 0.0649 (2.2222)	Prec@1 81.250 (65.934)	
Epoch: [0][100/1427]	 lr:0.01000	Time 0.050 (1.685)	Loss 0.0386 (2.0077)	Prec@1 90.625 (67.652)	
Epoch: [0][110/1427]	 lr:0.01000	Time 0.052 (1.675)	Loss 0.0681 (1.8320)	Prec@1 87.500 (69.313)	
Epoch: [0][120/1427]	 lr:0.01000	Time 0.039 (1.718)	Loss 0.0339 (1.6841)	Prec@1 89.062 (70.816)	
Epoch: [0][130/1427]	 lr:0.01000	Time 1.079 (1.731)	Loss 0.0446 (1.5592)	Prec@1 87.500 (71.982)	
Epoch: [0][140/1427]	 lr:0.01000	Time 0.034 (1.759)	Loss 0.0327 (1.4517)	Prec@1 90.625 (73.138)	
Epoch: [0][150/1427]	 lr:0.01000	Time 0.030 (1.805)	Loss 0.0346 (1.3583)	Prec@1 93.750 (74.089)	
Epoch: [0][160/1427]	 lr:0.01000	Time 0.035 (1.831)	Loss 0.0391 (1.2764)	Prec@1 87.500 (75.000)	
Epoch: [0][170/1427]	 lr:0.01000	Time 0.032 (1.871)	Loss 0.0288 (1.2044)	Prec@1 85.938 (75.694)	
Epoch: [0][180/1427]	 lr:0.01000	Time 0.026 (1.867)	Loss 0.0353 (1.1397)	Prec@1 85.938 (76.468)	
Epoch: [0][190/1427]	 lr:0.01000	Time 0.042 (1.879)	Loss 0.0265 (1.0820)	Prec@1 92.188 (77.135)	
Epoch: [0][200/1427]	 lr:0.01000	Time 0.037 (2.020)	Loss 0.0280 (1.0297)	Prec@1 93.750 (77.907)	
Epoch: [0][210/1427]	 lr:0.01000	Time 0.030 (2.026)	Loss 0.0267 (0.9826)	Prec@1 90.625 (78.458)	
Epoch: [0][220/1427]	 lr:0.01000	Time 0.049 (1.993)	Loss 0.0214 (0.9399)	Prec@1 93.750 (78.931)	
Epoch: [0][230/1427]	 lr:0.01000	Time 0.030 (1.984)	Loss 0.0238 (0.9005)	Prec@1 93.750 (79.478)	
