Epoch: [0][0/1314]	 lr:0.01000	Time 5.148 (5.148)	Loss 5.5740 (5.5740)	KL_Loss 0.0349 (0.0349)	Feat_map_Loss 1.8617 (1.8617)	Overall_Loss 3.7353 (3.7353)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1314]	 lr:0.01000	Time 0.138 (0.623)	Loss 0.3267 (3.5179)	KL_Loss 1.3622 (0.2864)	Feat_map_Loss 0.8420 (1.3125)	Overall_Loss 1.2654 (2.5584)	Prec@1 67.188 (34.659)	
Epoch: [0][20/1314]	 lr:0.01000	Time 0.128 (0.440)	Loss 0.7127 (2.1742)	KL_Loss 0.6574 (0.5607)	Feat_map_Loss 0.7892 (1.0972)	Overall_Loss 1.0796 (1.9160)	Prec@1 59.375 (47.842)	
Epoch: [0][30/1314]	 lr:0.01000	Time 0.135 (0.377)	Loss 0.5932 (1.6490)	KL_Loss 0.6094 (0.5942)	Feat_map_Loss 0.6692 (0.9633)	Overall_Loss 0.9359 (1.6033)	Prec@1 71.875 (55.040)	
Epoch: [0][40/1314]	 lr:0.01000	Time 1.167 (0.372)	Loss 0.4945 (1.3634)	KL_Loss 0.6332 (0.6053)	Feat_map_Loss 0.5717 (0.8704)	Overall_Loss 0.8497 (1.4196)	Prec@1 76.562 (61.090)	
Epoch: [0][50/1314]	 lr:0.01000	Time 0.133 (0.349)	Loss 0.4976 (1.1946)	KL_Loss 0.6052 (0.6030)	Feat_map_Loss 0.5561 (0.8047)	Overall_Loss 0.8294 (1.3011)	Prec@1 78.125 (64.216)	
Epoch: [0][60/1314]	 lr:0.01000	Time 0.146 (0.329)	Loss 0.5594 (1.0735)	KL_Loss 0.5489 (0.6056)	Feat_map_Loss 0.5246 (0.7611)	Overall_Loss 0.8165 (1.2201)	Prec@1 78.125 (66.931)	
Epoch: [0][70/1314]	 lr:0.01000	Time 0.162 (0.329)	Loss 0.4845 (0.9864)	KL_Loss 0.5649 (0.6046)	Feat_map_Loss 0.5108 (0.7248)	Overall_Loss 0.7801 (1.1579)	Prec@1 82.812 (69.036)	
Epoch: [0][80/1314]	 lr:0.01000	Time 0.702 (0.330)	Loss 0.4148 (0.9215)	KL_Loss 0.5649 (0.6041)	Feat_map_Loss 0.4777 (0.6962)	Overall_Loss 0.7287 (1.1109)	Prec@1 89.062 (70.544)	
