Epoch: [0][0/1314]	 lr:0.01000	Time 2.719 (2.719)	Loss 5.5740 (5.5740)	KL_Loss 0.0349 (0.0349)	Feat_map_Loss 1.8617 (1.8617)	Overall_Loss 3.7353 (3.7353)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1314]	 lr:0.01000	Time 0.136 (0.378)	Loss 0.3416 (3.4917)	KL_Loss 1.5937 (0.3114)	Feat_map_Loss 0.8638 (1.3172)	Overall_Loss 1.3995 (2.5601)	Prec@1 62.500 (37.074)	
Epoch: [0][20/1314]	 lr:0.01000	Time 0.158 (0.268)	Loss 0.7600 (2.1726)	KL_Loss 0.6125 (0.5886)	Feat_map_Loss 0.7454 (1.0837)	Overall_Loss 1.0589 (1.9224)	Prec@1 59.375 (48.512)	
Epoch: [0][30/1314]	 lr:0.01000	Time 0.107 (0.232)	Loss 0.7111 (1.6474)	KL_Loss 0.5493 (0.6193)	Feat_map_Loss 0.6765 (0.9532)	Overall_Loss 0.9684 (1.6099)	Prec@1 59.375 (55.544)	
Epoch: [0][40/1314]	 lr:0.01000	Time 0.202 (0.208)	Loss 0.4583 (1.3638)	KL_Loss 0.6464 (0.6278)	Feat_map_Loss 0.5724 (0.8628)	Overall_Loss 0.8386 (1.4272)	Prec@1 85.938 (61.242)	
Epoch: [0][50/1314]	 lr:0.01000	Time 0.117 (0.195)	Loss 0.4450 (1.1961)	KL_Loss 0.6277 (0.6204)	Feat_map_Loss 0.5420 (0.7989)	Overall_Loss 0.8074 (1.3077)	Prec@1 81.250 (64.308)	
Epoch: [0][60/1314]	 lr:0.01000	Time 0.144 (0.187)	Loss 0.5745 (1.0777)	KL_Loss 0.5585 (0.6192)	Feat_map_Loss 0.5179 (0.7553)	Overall_Loss 0.8254 (1.2261)	Prec@1 78.125 (66.855)	
Epoch: [0][70/1314]	 lr:0.01000	Time 0.119 (0.184)	Loss 0.5100 (0.9910)	KL_Loss 0.5780 (0.6169)	Feat_map_Loss 0.5112 (0.7203)	Overall_Loss 0.7996 (1.1641)	Prec@1 84.375 (68.926)	
Epoch: [0][80/1314]	 lr:0.01000	Time 0.127 (0.180)	Loss 0.4561 (0.9269)	KL_Loss 0.5490 (0.6141)	Feat_map_Loss 0.4700 (0.6924)	Overall_Loss 0.7375 (1.1167)	Prec@1 85.938 (70.062)	
Epoch: [0][90/1314]	 lr:0.01000	Time 0.158 (0.176)	Loss 0.5378 (0.8743)	KL_Loss 0.5550 (0.6135)	Feat_map_Loss 0.5058 (0.6714)	Overall_Loss 0.7993 (1.0796)	Prec@1 78.125 (71.343)	
Epoch: [0][100/1314]	 lr:0.01000	Time 0.106 (0.180)	Loss 0.4692 (0.8330)	KL_Loss 0.5858 (0.6107)	Feat_map_Loss 0.4575 (0.6527)	Overall_Loss 0.7562 (1.0482)	Prec@1 78.125 (72.386)	
Epoch: [0][110/1314]	 lr:0.01000	Time 0.194 (0.195)	Loss 0.4146 (0.7973)	KL_Loss 0.6046 (0.6085)	Feat_map_Loss 0.4847 (0.6372)	Overall_Loss 0.7519 (1.0215)	Prec@1 85.938 (73.494)	
Epoch: [0][120/1314]	 lr:0.01000	Time 0.725 (0.209)	Loss 0.3927 (0.7682)	KL_Loss 0.5753 (0.6056)	Feat_map_Loss 0.4658 (0.6239)	Overall_Loss 0.7169 (0.9989)	Prec@1 93.750 (74.471)	
Epoch: [0][130/1314]	 lr:0.01000	Time 0.123 (0.213)	Loss 0.4243 (0.7416)	KL_Loss 0.5317 (0.6034)	Feat_map_Loss 0.4552 (0.6126)	Overall_Loss 0.7056 (0.9788)	Prec@1 92.188 (75.465)	
Epoch: [0][140/1314]	 lr:0.01000	Time 0.747 (0.222)	Loss 0.4812 (0.7194)	KL_Loss 0.5647 (0.6024)	Feat_map_Loss 0.5160 (0.6036)	Overall_Loss 0.7810 (0.9627)	Prec@1 84.375 (76.219)	
Epoch: [0][150/1314]	 lr:0.01000	Time 0.240 (0.225)	Loss 0.3099 (0.7004)	KL_Loss 0.6093 (0.6007)	Feat_map_Loss 0.4598 (0.5954)	Overall_Loss 0.6895 (0.9483)	Prec@1 93.750 (76.852)	
Epoch: [0][160/1314]	 lr:0.01000	Time 0.601 (0.230)	Loss 0.4623 (0.6850)	KL_Loss 0.5965 (0.5987)	Feat_map_Loss 0.4667 (0.5881)	Overall_Loss 0.7628 (0.9359)	Prec@1 79.688 (77.310)	
Epoch: [0][170/1314]	 lr:0.01000	Time 0.113 (0.244)	Loss 0.4789 (0.6714)	KL_Loss 0.5213 (0.5967)	Feat_map_Loss 0.4961 (0.5815)	Overall_Loss 0.7482 (0.9248)	Prec@1 85.938 (77.659)	
