Epoch: [0][0/1427]	 lr:0.01000	Time 2.884 (2.884)	Loss 6.2037 (6.2037)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1427]	 lr:0.01000	Time 0.031 (0.559)	Loss 5.9949 (6.1329)	Prec@1 51.562 (25.568)	
Epoch: [0][20/1427]	 lr:0.01000	Time 1.664 (0.552)	Loss 5.1480 (5.9195)	Prec@1 70.312 (40.923)	
Epoch: [0][30/1427]	 lr:0.01000	Time 0.040 (0.495)	Loss 3.5758 (5.4370)	Prec@1 54.688 (46.774)	
Epoch: [0][40/1427]	 lr:0.01000	Time 1.218 (0.504)	Loss 1.1929 (4.6038)	Prec@1 65.625 (51.448)	
Epoch: [0][50/1427]	 lr:0.01000	Time 0.035 (0.488)	Loss 0.3949 (3.8559)	Prec@1 67.188 (55.453)	
Epoch: [0][60/1427]	 lr:0.01000	Time 1.555 (0.496)	Loss 0.0961 (3.2523)	Prec@1 70.312 (59.119)	
Epoch: [0][70/1427]	 lr:0.01000	Time 0.054 (0.481)	Loss 0.1370 (2.8088)	Prec@1 76.562 (62.082)	
Epoch: [0][80/1427]	 lr:0.01000	Time 1.070 (0.494)	Loss 0.0667 (2.4707)	Prec@1 81.250 (64.506)	
Epoch: [0][90/1427]	 lr:0.01000	Time 0.032 (0.482)	Loss 0.0648 (2.2059)	Prec@1 76.562 (66.655)	
Epoch: [0][100/1427]	 lr:0.01000	Time 1.390 (0.491)	Loss 0.0366 (1.9919)	Prec@1 90.625 (68.595)	
Epoch: [0][110/1427]	 lr:0.01000	Time 0.420 (0.483)	Loss 0.0488 (1.8164)	Prec@1 89.062 (70.298)	
Epoch: [0][120/1427]	 lr:0.01000	Time 1.208 (0.487)	Loss 0.0236 (1.6696)	Prec@1 93.750 (71.772)	
Epoch: [0][130/1427]	 lr:0.01000	Time 0.034 (0.479)	Loss 0.0385 (1.5450)	Prec@1 87.500 (72.960)	
Epoch: [0][140/1427]	 lr:0.01000	Time 1.370 (0.485)	Loss 0.0208 (1.4378)	Prec@1 92.188 (74.213)	
