Epoch: [38][0/4095]	 lr:0.01000	Time 2.378 (2.378)	Loss 0.0613 (0.0613)	KL_Loss 0.5576 (0.5576)	Feat_map_Loss 0.3495 (0.3495)	Overall_Loss 0.4842 (0.4842)	Prec@1 81.250 (81.250)	
Epoch: [38][10/4095]	 lr:0.01000	Time 0.106 (0.324)	Loss 0.0802 (0.0918)	KL_Loss 0.4946 (0.4882)	Feat_map_Loss 0.3914 (0.3545)	Overall_Loss 0.4831 (0.4673)	Prec@1 76.562 (80.114)	
Epoch: [38][20/4095]	 lr:0.01000	Time 0.106 (0.221)	Loss 0.0722 (0.0817)	KL_Loss 0.4438 (0.4833)	Feat_map_Loss 0.3583 (0.3721)	Overall_Loss 0.4372 (0.4686)	Prec@1 79.688 (78.571)	
Epoch: [38][30/4095]	 lr:0.01000	Time 0.105 (0.185)	Loss 0.1318 (0.0809)	KL_Loss 0.3903 (0.4447)	Feat_map_Loss 0.4169 (0.3600)	Overall_Loss 0.4695 (0.4427)	Prec@1 76.562 (79.788)	
Epoch: [38][40/4095]	 lr:0.01000	Time 0.111 (0.167)	Loss 0.0936 (0.0758)	KL_Loss 0.2410 (0.4073)	Feat_map_Loss 0.3822 (0.3613)	Overall_Loss 0.3584 (0.4222)	Prec@1 87.500 (81.745)	
Epoch: [38][50/4095]	 lr:0.01000	Time 0.270 (0.158)	Loss 0.0780 (0.0741)	KL_Loss 0.1776 (0.3710)	Feat_map_Loss 0.3650 (0.3572)	Overall_Loss 0.3103 (0.4012)	Prec@1 90.625 (83.333)	
Epoch: [38][60/4095]	 lr:0.01000	Time 0.105 (0.150)	Loss 0.0919 (0.0725)	KL_Loss 0.3009 (0.3520)	Feat_map_Loss 0.3436 (0.3545)	Overall_Loss 0.3682 (0.3895)	Prec@1 85.938 (84.170)	
Epoch: [38][70/4095]	 lr:0.01000	Time 0.099 (0.144)	Loss 0.0260 (0.0697)	KL_Loss 0.1863 (0.3321)	Feat_map_Loss 0.4195 (0.3527)	Overall_Loss 0.3159 (0.3773)	Prec@1 90.625 (84.881)	
Epoch: [38][80/4095]	 lr:0.01000	Time 0.100 (0.139)	Loss 0.0957 (0.0688)	KL_Loss 0.3041 (0.3174)	Feat_map_Loss 0.3821 (0.3566)	Overall_Loss 0.3909 (0.3714)	Prec@1 79.688 (85.301)	
Epoch: [38][90/4095]	 lr:0.01000	Time 0.107 (0.135)	Loss 0.1014 (0.0678)	KL_Loss 0.2519 (0.3065)	Feat_map_Loss 0.3094 (0.3567)	Overall_Loss 0.3314 (0.3655)	Prec@1 79.688 (85.611)	
Epoch: [38][100/4095]	 lr:0.01000	Time 0.097 (0.131)	Loss 0.0662 (0.0665)	KL_Loss 0.2297 (0.2980)	Feat_map_Loss 0.3103 (0.3571)	Overall_Loss 0.3031 (0.3608)	Prec@1 87.500 (85.736)	
Epoch: [38][110/4095]	 lr:0.01000	Time 0.103 (0.129)	Loss 0.0199 (0.0655)	KL_Loss 0.1674 (0.2908)	Feat_map_Loss 0.3735 (0.3572)	Overall_Loss 0.2804 (0.3568)	Prec@1 92.188 (86.008)	
Epoch: [38][120/4095]	 lr:0.01000	Time 0.098 (0.126)	Loss 0.0352 (0.0647)	KL_Loss 0.1474 (0.2795)	Feat_map_Loss 0.3263 (0.3573)	Overall_Loss 0.2544 (0.3508)	Prec@1 89.062 (86.506)	
Epoch: [38][130/4095]	 lr:0.01000	Time 0.102 (0.125)	Loss 0.0341 (0.0653)	KL_Loss 0.2393 (0.2749)	Feat_map_Loss 0.3380 (0.3570)	Overall_Loss 0.3057 (0.3486)	Prec@1 87.500 (86.689)	
Epoch: [38][140/4095]	 lr:0.01000	Time 0.109 (0.123)	Loss 0.0272 (0.0646)	KL_Loss 0.1941 (0.2705)	Feat_map_Loss 0.2839 (0.3557)	Overall_Loss 0.2526 (0.3454)	Prec@1 87.500 (86.946)	
Epoch: [38][150/4095]	 lr:0.01000	Time 0.101 (0.122)	Loss 0.0671 (0.0643)	KL_Loss 0.2267 (0.2667)	Feat_map_Loss 0.2647 (0.3549)	Overall_Loss 0.2792 (0.3429)	Prec@1 93.750 (87.138)	
Epoch: [38][160/4095]	 lr:0.01000	Time 0.104 (0.121)	Loss 0.0140 (0.0624)	KL_Loss 0.1211 (0.2597)	Feat_map_Loss 0.3425 (0.3545)	Overall_Loss 0.2388 (0.3383)	Prec@1 95.312 (87.413)	
Epoch: [38][170/4095]	 lr:0.01000	Time 0.104 (0.120)	Loss 0.1613 (0.0616)	KL_Loss 0.2417 (0.2522)	Feat_map_Loss 0.4110 (0.3517)	Overall_Loss 0.4070 (0.3328)	Prec@1 85.938 (87.802)	
Epoch: [38][180/4095]	 lr:0.01000	Time 0.105 (0.119)	Loss 0.0207 (0.0609)	KL_Loss 0.1528 (0.2477)	Feat_map_Loss 0.3837 (0.3522)	Overall_Loss 0.2786 (0.3304)	Prec@1 92.188 (88.018)	
Epoch: [38][190/4095]	 lr:0.01000	Time 0.104 (0.118)	Loss 0.0212 (0.0598)	KL_Loss 0.1131 (0.2430)	Feat_map_Loss 0.3628 (0.3519)	Overall_Loss 0.2485 (0.3274)	Prec@1 96.875 (88.318)	
Epoch: [38][200/4095]	 lr:0.01000	Time 0.106 (0.118)	Loss 0.0158 (0.0589)	KL_Loss 0.1014 (0.2378)	Feat_map_Loss 0.2714 (0.3506)	Overall_Loss 0.1943 (0.3236)	Prec@1 96.875 (88.518)	
Epoch: [38][210/4095]	 lr:0.01000	Time 0.106 (0.117)	Loss 0.0333 (0.0581)	KL_Loss 0.1491 (0.2336)	Feat_map_Loss 0.2594 (0.3514)	Overall_Loss 0.2209 (0.3215)	Prec@1 93.750 (88.759)	
Epoch: [38][220/4095]	 lr:0.01000	Time 0.105 (0.116)	Loss 0.0722 (0.0572)	KL_Loss 0.1655 (0.2291)	Feat_map_Loss 0.3589 (0.3524)	Overall_Loss 0.2983 (0.3193)	Prec@1 89.062 (88.978)	
