Epoch: [0][0/4095]	 lr:0.01000	Time 2.591 (2.591)	Loss 5.5808 (5.5808)	KL_Loss 5.3637 (5.3637)	Feat_map_Loss 2.0172 (2.0172)	Overall_Loss 6.4809 (6.4809)	Prec@1 0.000 (0.000)	
Epoch: [0][10/4095]	 lr:0.01000	Time 0.101 (0.341)	Loss 0.5297 (2.6175)	KL_Loss 0.7046 (2.6550)	Feat_map_Loss 0.8492 (1.3299)	Overall_Loss 1.0417 (3.3012)	Prec@1 71.875 (55.256)	
Epoch: [0][20/4095]	 lr:0.01000	Time 0.104 (0.228)	Loss 0.2402 (1.5491)	KL_Loss 0.6678 (1.7202)	Feat_map_Loss 0.6326 (1.0738)	Overall_Loss 0.7703 (2.1715)	Prec@1 60.938 (61.682)	
Epoch: [0][30/4095]	 lr:0.01000	Time 0.292 (0.193)	Loss 0.0695 (1.1144)	KL_Loss 0.4144 (1.3248)	Feat_map_Loss 0.6901 (0.9024)	Overall_Loss 0.5870 (1.6708)	Prec@1 81.250 (67.087)	
Epoch: [0][40/4095]	 lr:0.01000	Time 0.102 (0.171)	Loss 0.0770 (0.8690)	KL_Loss 0.3260 (1.0999)	Feat_map_Loss 0.5478 (0.8130)	Overall_Loss 0.4754 (1.3909)	Prec@1 84.375 (70.122)	
Epoch: [0][50/4095]	 lr:0.01000	Time 0.102 (0.157)	Loss 0.1290 (0.7188)	KL_Loss 0.3074 (0.9532)	Feat_map_Loss 0.4569 (0.7421)	Overall_Loss 0.4467 (1.2070)	Prec@1 81.250 (72.978)	
Epoch: [0][60/4095]	 lr:0.01000	Time 0.119 (0.149)	Loss 0.0834 (0.6154)	KL_Loss 0.3092 (0.8495)	Feat_map_Loss 0.3972 (0.6884)	Overall_Loss 0.3949 (1.0767)	Prec@1 87.500 (74.769)	
Epoch: [0][70/4095]	 lr:0.01000	Time 0.105 (0.144)	Loss 0.1257 (0.5420)	KL_Loss 0.3385 (0.7734)	Feat_map_Loss 0.4982 (0.6481)	Overall_Loss 0.4812 (0.9818)	Prec@1 81.250 (76.012)	
Epoch: [0][80/4095]	 lr:0.01000	Time 0.103 (0.139)	Loss 0.1044 (0.4889)	KL_Loss 0.4752 (0.7229)	Feat_map_Loss 0.4175 (0.6225)	Overall_Loss 0.4985 (0.9172)	Prec@1 73.438 (76.505)	
Epoch: [0][90/4095]	 lr:0.01000	Time 0.104 (0.135)	Loss 0.0984 (0.4461)	KL_Loss 0.2696 (0.6810)	Feat_map_Loss 0.3420 (0.5990)	Overall_Loss 0.3550 (0.8631)	Prec@1 81.250 (77.112)	
Epoch: [0][100/4095]	 lr:0.01000	Time 0.100 (0.132)	Loss 0.1008 (0.4124)	KL_Loss 0.3714 (0.6460)	Feat_map_Loss 0.3412 (0.5800)	Overall_Loss 0.4067 (0.8192)	Prec@1 79.688 (77.692)	
