Epoch: [38][240/4095]	 lr:0.01000	Time 0.460 (0.370)	Loss 0.0176 (0.0630)	KL_Loss 0.1934 (0.2428)	Feat_map_Loss 0.4316 (0.3568)	Overall_Loss 0.3213 (0.3313)	Prec@1 95.312 (87.740)	
Epoch: [38][250/4095]	 lr:0.01000	Time 0.344 (0.368)	Loss 0.0198 (0.0621)	KL_Loss 0.1421 (0.2404)	Feat_map_Loss 0.3566 (0.3566)	Overall_Loss 0.2593 (0.3295)	Prec@1 93.750 (87.942)	
Epoch: [38][260/4095]	 lr:0.01000	Time 0.334 (0.367)	Loss 0.0328 (0.0614)	KL_Loss 0.1287 (0.2366)	Feat_map_Loss 0.3643 (0.3567)	Overall_Loss 0.2629 (0.3274)	Prec@1 92.188 (88.123)	
Epoch: [38][270/4095]	 lr:0.01000	Time 0.331 (0.367)	Loss 0.0077 (0.0611)	KL_Loss 0.0989 (0.2339)	Feat_map_Loss 0.2522 (0.3558)	Overall_Loss 0.1794 (0.3254)	Prec@1 98.438 (88.261)	
Epoch: [38][280/4095]	 lr:0.01000	Time 0.332 (0.365)	Loss 0.0303 (0.0603)	KL_Loss 0.1496 (0.2313)	Feat_map_Loss 0.3743 (0.3567)	Overall_Loss 0.2771 (0.3241)	Prec@1 92.188 (88.379)	
Epoch: [38][290/4095]	 lr:0.01000	Time 0.331 (0.365)	Loss 0.0248 (0.0602)	KL_Loss 0.1340 (0.2293)	Feat_map_Loss 0.3881 (0.3567)	Overall_Loss 0.2734 (0.3231)	Prec@1 93.750 (88.493)	
Epoch: [38][300/4095]	 lr:0.01000	Time 0.331 (0.364)	Loss 0.0339 (0.0595)	KL_Loss 0.1543 (0.2272)	Feat_map_Loss 0.3807 (0.3572)	Overall_Loss 0.2845 (0.3219)	Prec@1 93.750 (88.616)	
Epoch: [38][310/4095]	 lr:0.01000	Time 0.433 (0.363)	Loss 0.0295 (0.0589)	KL_Loss 0.1210 (0.2243)	Feat_map_Loss 0.2881 (0.3568)	Overall_Loss 0.2193 (0.3200)	Prec@1 96.875 (88.746)	
Epoch: [38][320/4095]	 lr:0.01000	Time 0.314 (0.362)	Loss 0.0087 (0.0584)	KL_Loss 0.1094 (0.2216)	Feat_map_Loss 0.3323 (0.3564)	Overall_Loss 0.2252 (0.3182)	Prec@1 95.312 (88.834)	
Epoch: [38][330/4095]	 lr:0.01000	Time 0.315 (0.361)	Loss 0.0424 (0.0583)	KL_Loss 0.1356 (0.2189)	Feat_map_Loss 0.3376 (0.3555)	Overall_Loss 0.2578 (0.3164)	Prec@1 92.188 (88.959)	
Epoch: [38][340/4095]	 lr:0.01000	Time 0.310 (0.361)	Loss 0.0718 (0.0577)	KL_Loss 0.1724 (0.2167)	Feat_map_Loss 0.3012 (0.3555)	Overall_Loss 0.2727 (0.3150)	Prec@1 93.750 (89.049)	
Epoch: [38][350/4095]	 lr:0.01000	Time 0.310 (0.359)	Loss 0.0425 (0.0574)	KL_Loss 0.1474 (0.2148)	Feat_map_Loss 0.4028 (0.3558)	Overall_Loss 0.2964 (0.3140)	Prec@1 89.062 (89.116)	
Epoch: [38][360/4095]	 lr:0.01000	Time 0.323 (0.359)	Loss 0.0279 (0.0573)	KL_Loss 0.1520 (0.2137)	Feat_map_Loss 0.3682 (0.3565)	Overall_Loss 0.2741 (0.3138)	Prec@1 92.188 (89.158)	
Epoch: [38][370/4095]	 lr:0.01000	Time 0.318 (0.358)	Loss 0.0094 (0.0566)	KL_Loss 0.0722 (0.2114)	Feat_map_Loss 0.3007 (0.3564)	Overall_Loss 0.1912 (0.3122)	Prec@1 98.438 (89.290)	
Epoch: [38][380/4095]	 lr:0.01000	Time 0.485 (0.358)	Loss 0.0263 (0.0562)	KL_Loss 0.0880 (0.2092)	Feat_map_Loss 0.4488 (0.3565)	Overall_Loss 0.2815 (0.3110)	Prec@1 93.750 (89.407)	
Epoch: [38][390/4095]	 lr:0.01000	Time 0.337 (0.358)	Loss 0.0535 (0.0554)	KL_Loss 0.1813 (0.2067)	Feat_map_Loss 0.3992 (0.3568)	Overall_Loss 0.3170 (0.3094)	Prec@1 90.625 (89.538)	
Epoch: [38][400/4095]	 lr:0.01000	Time 0.323 (0.357)	Loss 0.0539 (0.0556)	KL_Loss 0.1327 (0.2056)	Feat_map_Loss 0.3454 (0.3571)	Overall_Loss 0.2660 (0.3091)	Prec@1 96.875 (89.600)	
Epoch: [38][410/4095]	 lr:0.01000	Time 0.318 (0.357)	Loss 0.0636 (0.0554)	KL_Loss 0.2060 (0.2044)	Feat_map_Loss 0.4003 (0.3568)	Overall_Loss 0.3349 (0.3083)	Prec@1 90.625 (89.678)	
Epoch: [38][420/4095]	 lr:0.01000	Time 0.325 (0.356)	Loss 0.0241 (0.0551)	KL_Loss 0.1198 (0.2029)	Feat_map_Loss 0.2931 (0.3563)	Overall_Loss 0.2185 (0.3071)	Prec@1 93.750 (89.753)	
Epoch: [38][430/4095]	 lr:0.01000	Time 0.335 (0.355)	Loss 0.0024 (0.0546)	KL_Loss 0.0600 (0.2011)	Feat_map_Loss 0.3546 (0.3565)	Overall_Loss 0.2085 (0.3061)	Prec@1 100.000 (89.846)	
Epoch: [38][440/4095]	 lr:0.01000	Time 0.339 (0.355)	Loss 0.0722 (0.0543)	KL_Loss 0.1750 (0.1993)	Feat_map_Loss 0.4325 (0.3571)	Overall_Loss 0.3398 (0.3053)	Prec@1 87.500 (89.941)	
Epoch: [38][450/4095]	 lr:0.01000	Time 0.471 (0.355)	Loss 0.0609 (0.0543)	KL_Loss 0.1544 (0.1979)	Feat_map_Loss 0.3496 (0.3570)	Overall_Loss 0.2824 (0.3046)	Prec@1 93.750 (89.984)	
Epoch: [38][460/4095]	 lr:0.01000	Time 0.326 (0.354)	Loss 0.2593 (0.0541)	KL_Loss 0.2351 (0.1964)	Feat_map_Loss 0.4705 (0.3571)	Overall_Loss 0.4824 (0.3038)	Prec@1 89.062 (90.069)	
Epoch: [38][470/4095]	 lr:0.01000	Time 0.319 (0.354)	Loss 0.0475 (0.0537)	KL_Loss 0.1421 (0.1947)	Feat_map_Loss 0.4110 (0.3568)	Overall_Loss 0.3003 (0.3026)	Prec@1 90.625 (90.147)	
Epoch: [38][480/4095]	 lr:0.01000	Time 0.293 (0.354)	Loss 0.0134 (0.0531)	KL_Loss 0.0808 (0.1931)	Feat_map_Loss 0.3276 (0.3568)	Overall_Loss 0.2109 (0.3015)	Prec@1 98.438 (90.245)	
