Test: [240/331]	Time 0.068 (0.076)	Loss 0.0000 (0.0104)	Prec@1 100.000 (97.128)	
Test: [250/331]	Time 0.072 (0.076)	Loss 0.0000 (0.0100)	Prec@1 100.000 (97.242)	
Test: [260/331]	Time 0.070 (0.076)	Loss 0.0001 (0.0096)	Prec@1 100.000 (97.348)	
Test: [270/331]	Time 0.072 (0.076)	Loss 0.0029 (0.0094)	Prec@1 100.000 (97.411)	
Test: [280/331]	Time 0.079 (0.076)	Loss 0.0111 (0.0104)	Prec@1 96.875 (97.086)	
Test: [290/331]	Time 0.074 (0.076)	Loss 0.1704 (0.0146)	Prec@1 64.062 (96.064)	
Test: [300/331]	Time 0.072 (0.076)	Loss 0.1232 (0.0224)	Prec@1 51.562 (94.217)	
Test: [310/331]	Time 0.076 (0.076)	Loss 0.0143 (0.0229)	Prec@1 98.438 (94.061)	
Test: [320/331]	Time 0.082 (0.076)	Loss 0.0027 (0.0224)	Prec@1 98.438 (94.208)	
Test: [330/331]	Time 0.030 (0.075)	Loss 0.0014 (0.0219)	Prec@1 100.000 (94.368)	
Test: [0/331]	Time 0.646 (0.646)	Loss 0.0061 (0.0061)	Prec@1 98.438 (98.438)	
Test: [10/331]	Time 0.070 (0.128)	Loss 0.0004 (0.0049)	Prec@1 100.000 (98.438)	
Test: [20/331]	Time 0.070 (0.102)	Loss 0.0010 (0.0039)	Prec@1 100.000 (98.884)	
Test: [30/331]	Time 0.074 (0.092)	Loss 0.0136 (0.0038)	Prec@1 95.312 (98.942)	
Test: [40/331]	Time 0.072 (0.088)	Loss 0.0031 (0.0040)	Prec@1 100.000 (98.933)	
Test: [50/331]	Time 0.072 (0.085)	Loss 0.0000 (0.0039)	Prec@1 100.000 (98.989)	
Test: [60/331]	Time 0.061 (0.082)	Loss 0.0002 (0.0037)	Prec@1 100.000 (99.027)	
Test: [70/331]	Time 0.078 (0.081)	Loss 0.0108 (0.0044)	Prec@1 96.875 (98.856)	
Test: [80/331]	Time 0.080 (0.080)	Loss 0.0087 (0.0062)	Prec@1 98.438 (98.360)	
Test: [90/331]	Time 0.067 (0.079)	Loss 0.0236 (0.0065)	Prec@1 96.875 (98.420)	
