Epoch: [0][0/360]	 lr:0.01000	Time 1.736 (1.736)	Loss 5.4256 (5.4256)	Prec@1 0.000 (0.000)	
Epoch: [0][10/360]	 lr:0.01000	Time 0.150 (0.263)	Loss 0.0890 (2.2921)	Prec@1 85.938 (60.369)	
Epoch: [0][20/360]	 lr:0.01000	Time 0.078 (0.188)	Loss 0.2477 (1.2899)	Prec@1 90.625 (73.586)	
Epoch: [0][30/360]	 lr:0.01000	Time 0.124 (0.161)	Loss 0.1883 (0.9427)	Prec@1 87.500 (76.915)	
Epoch: [0][40/360]	 lr:0.01000	Time 0.091 (0.148)	Loss 0.2104 (0.7806)	Prec@1 81.250 (77.706)	
Epoch: [0][50/360]	 lr:0.01000	Time 0.081 (0.139)	Loss 0.1584 (0.6453)	Prec@1 76.562 (79.350)	
Epoch: [0][60/360]	 lr:0.01000	Time 0.115 (0.133)	Loss 0.0744 (0.5516)	Prec@1 89.062 (80.738)	
Epoch: [0][70/360]	 lr:0.01000	Time 0.135 (0.129)	Loss 0.1847 (0.4844)	Prec@1 79.688 (82.152)	
Epoch: [0][80/360]	 lr:0.01000	Time 0.066 (0.125)	Loss 0.0834 (0.4351)	Prec@1 92.188 (82.812)	
Epoch: [0][90/360]	 lr:0.01000	Time 0.096 (0.124)	Loss 0.0162 (0.3924)	Prec@1 93.750 (83.826)	
Epoch: [0][100/360]	 lr:0.01000	Time 0.107 (0.121)	Loss 0.0345 (0.3570)	Prec@1 87.500 (84.468)	
Epoch: [0][110/360]	 lr:0.01000	Time 0.074 (0.120)	Loss 0.0390 (0.3271)	Prec@1 89.062 (85.234)	
Epoch: [0][120/360]	 lr:0.01000	Time 0.108 (0.120)	Loss 0.0372 (0.3020)	Prec@1 95.312 (85.989)	
Epoch: [0][130/360]	 lr:0.01000	Time 0.113 (0.118)	Loss 0.0130 (0.2804)	Prec@1 95.312 (86.677)	
Epoch: [0][140/360]	 lr:0.01000	Time 0.126 (0.117)	Loss 0.0134 (0.2624)	Prec@1 95.312 (87.101)	
Epoch: [0][150/360]	 lr:0.01000	Time 0.068 (0.114)	Loss 0.0121 (0.2464)	Prec@1 98.438 (87.645)	
Epoch: [0][160/360]	 lr:0.01000	Time 0.072 (0.114)	Loss 0.0201 (0.2324)	Prec@1 93.750 (88.043)	
Epoch: [0][170/360]	 lr:0.01000	Time 0.078 (0.113)	Loss 0.0209 (0.2205)	Prec@1 93.750 (88.277)	
Epoch: [0][180/360]	 lr:0.01000	Time 0.112 (0.111)	Loss 0.0347 (0.2094)	Prec@1 87.500 (88.562)	
Epoch: [0][190/360]	 lr:0.01000	Time 0.154 (0.112)	Loss 0.0156 (0.1995)	Prec@1 95.312 (88.899)	
Epoch: [0][200/360]	 lr:0.01000	Time 0.057 (0.112)	Loss 0.0140 (0.1908)	Prec@1 96.875 (89.140)	
Epoch: [0][210/360]	 lr:0.01000	Time 0.099 (0.111)	Loss 0.0241 (0.1825)	Prec@1 95.312 (89.411)	
Epoch: [0][220/360]	 lr:0.01000	Time 0.060 (0.110)	Loss 0.0187 (0.1750)	Prec@1 93.750 (89.656)	
Epoch: [0][230/360]	 lr:0.01000	Time 0.046 (0.111)	Loss 0.0230 (0.1681)	Prec@1 95.312 (89.922)	
Epoch: [0][240/360]	 lr:0.01000	Time 0.080 (0.112)	Loss 0.0139 (0.1617)	Prec@1 95.312 (90.152)	
Epoch: [0][250/360]	 lr:0.01000	Time 0.139 (0.112)	Loss 0.0052 (0.1558)	Prec@1 100.000 (90.395)	
Epoch: [0][260/360]	 lr:0.01000	Time 0.087 (0.112)	Loss 0.0095 (0.1504)	Prec@1 95.312 (90.619)	
Epoch: [0][270/360]	 lr:0.01000	Time 0.102 (0.112)	Loss 0.0138 (0.1453)	Prec@1 95.312 (90.856)	
Epoch: [0][280/360]	 lr:0.01000	Time 0.143 (0.112)	Loss 0.0036 (0.1405)	Prec@1 100.000 (91.070)	
Epoch: [0][290/360]	 lr:0.01000	Time 0.096 (0.111)	Loss 0.0137 (0.1364)	Prec@1 93.750 (91.221)	
Epoch: [0][300/360]	 lr:0.01000	Time 0.079 (0.111)	Loss 0.0084 (0.1323)	Prec@1 98.438 (91.388)	
Epoch: [0][310/360]	 lr:0.01000	Time 0.066 (0.111)	Loss 0.0055 (0.1285)	Prec@1 98.438 (91.565)	
Epoch: [0][320/360]	 lr:0.01000	Time 0.051 (0.110)	Loss 0.0052 (0.1248)	Prec@1 100.000 (91.720)	
Epoch: [0][330/360]	 lr:0.01000	Time 0.096 (0.110)	Loss 0.0098 (0.1214)	Prec@1 96.875 (91.885)	
Epoch: [0][340/360]	 lr:0.01000	Time 0.118 (0.109)	Loss 0.0062 (0.1182)	Prec@1 98.438 (92.023)	
Epoch: [0][350/360]	 lr:0.01000	Time 0.093 (0.109)	Loss 0.0088 (0.1152)	Prec@1 96.875 (92.161)	
Epoch: [1][0/360]	 lr:0.01000	Time 0.633 (0.633)	Loss 0.0043 (0.0043)	Prec@1 100.000 (100.000)	
Epoch: [1][10/360]	 lr:0.01000	Time 0.048 (0.137)	Loss 0.0361 (0.0162)	Prec@1 89.062 (96.449)	
Epoch: [1][20/360]	 lr:0.01000	Time 0.063 (0.106)	Loss 0.0076 (0.0138)	Prec@1 98.438 (96.949)	
Epoch: [1][30/360]	 lr:0.01000	Time 0.081 (0.096)	Loss 0.0061 (0.0133)	Prec@1 100.000 (96.724)	
Epoch: [1][40/360]	 lr:0.01000	Time 0.099 (0.091)	Loss 0.0045 (0.0123)	Prec@1 98.438 (96.913)	
Epoch: [1][50/360]	 lr:0.01000	Time 0.052 (0.087)	Loss 0.0256 (0.0115)	Prec@1 95.312 (97.059)	
Epoch: [1][60/360]	 lr:0.01000	Time 0.073 (0.085)	Loss 0.0073 (0.0115)	Prec@1 98.438 (96.952)	
Epoch: [1][70/360]	 lr:0.01000	Time 0.068 (0.084)	Loss 0.0052 (0.0110)	Prec@1 96.875 (97.095)	
