Epoch: [0][0/1427]	 lr:0.01000	Time 5.011 (5.011)	Loss 6.2037 (6.2037)	Prec@1 0.000 (0.000)	
Epoch: [0][10/1427]	 lr:0.01000	Time 0.044 (1.036)	Loss 6.0009 (6.1340)	Prec@1 54.688 (24.858)	
Epoch: [0][20/1427]	 lr:0.01000	Time 1.986 (0.950)	Loss 5.1359 (5.9174)	Prec@1 71.875 (41.890)	
Epoch: [0][30/1427]	 lr:0.01000	Time 1.520 (0.918)	Loss 3.4834 (5.4178)	Prec@1 57.812 (47.883)	
Epoch: [0][40/1427]	 lr:0.01000	Time 0.039 (0.868)	Loss 1.2967 (4.5655)	Prec@1 64.062 (52.058)	
Epoch: [0][50/1427]	 lr:0.01000	Time 2.132 (0.886)	Loss 0.3670 (3.8428)	Prec@1 73.438 (56.189)	
Epoch: [0][60/1427]	 lr:0.01000	Time 0.037 (0.841)	Loss 0.0754 (3.2409)	Prec@1 84.375 (60.092)	
Epoch: [0][70/1427]	 lr:0.01000	Time 1.832 (0.858)	Loss 0.0819 (2.7963)	Prec@1 78.125 (62.852)	
Epoch: [0][80/1427]	 lr:0.01000	Time 0.911 (0.837)	Loss 0.0625 (2.4595)	Prec@1 79.688 (65.066)	
Epoch: [0][90/1427]	 lr:0.01000	Time 1.579 (0.862)	Loss 0.0757 (2.1954)	Prec@1 76.562 (67.205)	
Epoch: [0][100/1427]	 lr:0.01000	Time 0.047 (0.846)	Loss 0.0432 (1.9829)	Prec@1 87.500 (68.951)	
Epoch: [0][110/1427]	 lr:0.01000	Time 3.837 (0.868)	Loss 0.0772 (1.8089)	Prec@1 85.938 (70.538)	
Epoch: [0][120/1427]	 lr:0.01000	Time 0.193 (0.847)	Loss 0.0293 (1.6630)	Prec@1 89.062 (71.862)	
Epoch: [0][130/1427]	 lr:0.01000	Time 2.527 (0.855)	Loss 0.0386 (1.5392)	Prec@1 89.062 (72.984)	
Epoch: [0][140/1427]	 lr:0.01000	Time 0.028 (0.840)	Loss 0.0218 (1.4326)	Prec@1 95.312 (74.313)	
Epoch: [0][150/1427]	 lr:0.01000	Time 2.535 (0.843)	Loss 0.0295 (1.3402)	Prec@1 95.312 (75.279)	
Epoch: [0][160/1427]	 lr:0.01000	Time 0.329 (0.827)	Loss 0.0329 (1.2590)	Prec@1 87.500 (76.233)	
Epoch: [0][170/1427]	 lr:0.01000	Time 1.778 (0.832)	Loss 0.0287 (1.1880)	Prec@1 93.750 (76.901)	
Epoch: [0][180/1427]	 lr:0.01000	Time 1.682 (0.830)	Loss 0.0287 (1.1241)	Prec@1 90.625 (77.737)	
Epoch: [0][190/1427]	 lr:0.01000	Time 0.038 (0.824)	Loss 0.0230 (1.0671)	Prec@1 95.312 (78.411)	
Epoch: [0][200/1427]	 lr:0.01000	Time 2.051 (0.819)	Loss 0.0344 (1.0157)	Prec@1 87.500 (78.972)	
Epoch: [0][210/1427]	 lr:0.01000	Time 0.530 (0.812)	Loss 0.0192 (0.9692)	Prec@1 95.312 (79.473)	
Epoch: [0][220/1427]	 lr:0.01000	Time 1.388 (0.809)	Loss 0.0247 (0.9268)	Prec@1 90.625 (79.942)	
Epoch: [0][230/1427]	 lr:0.01000	Time 0.036 (0.801)	Loss 0.0148 (0.8882)	Prec@1 98.438 (80.350)	
